Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,3.33066907387547E-16,-1.52308721190764E-15,8.67361737988404E-19,0,0,0,0.001,1.66666666666667E-08,-5.88864363539083E-25,-1.50348348137638E-25,1.66666666666667E-08,-1.41172157875713E-26,1.66666666666667E-08,0,0,0,0,0,0,package://newdog7/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://newdog7/meshes/base_link.STL,,baselink-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
trunk_link,-0.000914596355781658,-0.00588588083227612,-0.0101666909289931,0,0,0,2.24927620754806,0.00378353466839069,2.17502742751803E-07,1.29964488379463E-06,0.00548992390617239,7.45178490404713E-08,0.00783330223774373,0,0,0,0,0,0,package://newdog7/meshes/trunk_link.STL,0,1,1,1,0,0,0,0,0,0,package://newdog7/meshes/trunk_link.STL,,硬件——保险丝-2;硬件——保险丝-4;打印件——保险丝固定块-4;硬件——保险丝-3;前左腿-1/电机-RS02关节电机-3;Mirror前左腿-3/Mirror电机-RS02关节电机-3;打印件——保险丝固定块-1;打印件——保险丝固定块-3;打印件——保险丝固定块-2;打印件——imu固定块-1;打印件——minipc顶盖-1;硬件——minipc-3;玻纤板——电机屁股固定板-1;玻纤板——电机屁股固定板-6;玻纤板——电机屁股固定板-5;硬件——电容组-7;硬件——保险丝-1;打印件——小电脑固定壳-1;硬件——miniipc电池-1;打印件——缓冲电容垫块-6;打印件——缓冲电容垫块-3;打印件——缓冲电容垫块-4;玻纤板——侧整体板-8;玻纤板——侧整体板-7;打印件——2号电池固定壳-1;打印件——2号电池固定上板-1;硬件——电容组-5;硬件——电容组-4;打印件——缓冲电容垫块-5;硬件——电容组-6;玻纤板——狗肚竖梁管连接件-4;玻纤板——狗肚子铝方管夹板-3;玻纤板——狗肚横竖梁连接-4;玻纤板——狗肚横竖梁连接-3;玻纤板——狗肚子铝方管夹板-4;玻纤板——狗肚子铝方管夹板-2;铝方管——下宽-2;玻纤板——侧整体板-3;玻纤板——侧整体板-1;铝方管——狗肚管-1;玻纤板——狗肚子铝方管夹板-1;玻纤板——上下角转接件-4;铝方管——高-8;玻纤板——上下角转接件-7;玻纤板——上下角转接件-5;玻纤板——上下角转接件-3;铝方管——宽-5;铝方管——高-5;碳板——前后板-1;铝方管——长-8;铝方管——长-9;碳板——前后板-2;铝方管——宽-1;铝方管——高-4;玻纤板——上下角转接件-1;玻纤板——上下角转接件-2;玻纤板——上下角转接件-6;玻纤板——上下角转接件-8;铝方管——高-7;铝方管——下长管-2;铝方管——下长管-3;玻纤板——侧整体板-2;玻纤板——侧整体板-4;铝方管——狗肚竖梁-1;铝方管——下宽-1;打印件——狗肚竖梁垫块-2;玻纤板——狗肚竖梁管连接件-3;玻纤板——狗肚竖梁管连接件-5;玻纤板——侧整体板-5;pom板——狗肚大板子-1;玻纤板——侧整体板-6;打印件——方管垫块——长-1;Mirror后左腿-2/Mirror电机-RS02关节电机-3;后左腿-1/电机-RS02关节电机-3;玻纤板——电机屁股固定板-2;玻纤板——狗肚竖梁管连接件-2;打印件——狗肚竖梁垫块-1,base_link,Axis_trunk_joint,trunk_joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
FL_hip_link,-0.027663,0.016036,-4.3486E-05,0,0,0,0.54073,0.00032158,-4.6346E-05,-3.3901E-07,0.00049272,-9.1054E-08,0.00035002,0,0,0,0,0,0,package://newdog7/meshes/FL_hip_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://newdog7/meshes/FL_hip_link.STL,,前左腿-1/CNC-髋关节二级轴系外下档件（板配合版）-1;前左腿-1/标准件-深沟球轴承45-55-6-2;前左腿-1/CNC-髋关节二级轴系输出中部-1;前左腿-1/CNC-髋关节二级轴系输出盘下部-1;前左腿-1/钣金件-髋关节与大腿连接板-1;前左腿-1/电机-RS02关节电机-2;前左腿-1/轴承外端上盖-1;前左腿-1/CNC-大腿小腿二级轴系外下档件（板配合版）-1;前左腿-1/标准件-深沟球轴承45-55-6-1;前左腿-1/CNC-输出盘下部-1,FL_hip_link,FL_hip_joint,FL_hip_joint,revolute,0.219736600000002,0.0625499999999842,0,0,0,0,trunk_link,1,0,0,100,100,-3.14,3.14,,,,,,,,
FL_thigh_link,-0.003735,-0.017979,-0.04498,0,0,0,0.48786,0.0016807,2.8589E-07,-4.5813E-05,0.0019267,4.2812E-07,0.00026418,0,0,0,0,0,0,package://newdog7/meshes/FL_thigh_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://newdog7/meshes/FL_thigh_link.STL,,前左腿-1/CNC-输出中部2.0-1;前左腿-1/标准件-M4x45-7铝柱-4;前左腿-1/标准件-M4x45-7铝柱-3;前左腿-1/标准件-M4x45-7铝柱-1;前左腿-1/标准件-M4x45-7铝柱-2;前左腿-1/标准件-铝柱M4-D7-30-7;前左腿-1/电机-RS02关节电机-1;前左腿-1/标准件-铝柱M4-D7-30-6;前左腿-1/标准件-铝柱M4-D7-30-5;前左腿-1/标准件-铝柱M4-D7-30-4;前左腿-1/标准件-铝柱M4-D7-30-3;前左腿-1/标准件-铝柱M4-D7-30-2;前左腿-1/标准件-铝柱M4-D7-30-1;前左腿-1/碳纤板-大腿板7.0非电机侧固定板-1;前左腿-1/标准件-四氟垫片10-18-5-2;前左腿-1/标准件-四氟垫片14-6-2-1;前左腿-1/标准件-四氟垫片14-6-2-2;前左腿-1/标准件-四氟垫片10-18-5-1;前左腿-1/3D打印-小腿右限位块-1;前左腿-1/玻纤-小腿左限位板-1;前左腿-1/CNC-连杆固定件上部2.0-1;前左腿-1/CNC-连杆固定件下部2.0-1;前左腿-1/鱼眼轴承连杆-1;前左腿-1/碳纤板-大腿板7.0电机侧固定板-1;前左腿-1/标准件-四氟垫片10-18-5-3;前左腿-1/标准件-四氟垫片10-18-5-4,FL_thigh_link,FL_thigh_joint,FL_thigh_joint,revolute,0,0.113000000000016,4.99999999798882E-05,0,0,0,FL_hip_link,0,1,0,100,100,-3.14,3.14,,,,,,,,
FL_calf_link,0.025993,-5.5511E-17,0.056067,0,0,0,0.17214,0.00042444,1.1439E-19,-0.00019028,0.00053265,1.6865E-19,0.00010964,0,0,0,0,0,0,package://newdog7/meshes/FL_calf_link.STL,1,1,1,1,0,0,0,0,0,0,package://newdog7/meshes/FL_calf_link.STL,,前左腿-1/标准件-四氟垫片14-6-2-4;前左腿-1/CNC-小腿板左侧板6.0-4;前左腿-1/标准件-四氟垫片14-6-2-3;前左腿-1/CNC-小腿板右侧板6.0-1;前左腿-1/CNC-小腿板6.0-1,FL_calf_link,FL_calf_joint,FL_calf_joint,revolute,0,0,-0.220000000000001,0,0,0,FL_thigh_link,0,1,0,100,100,-3.14,3.14,,,,,,,,
FL_foot_link,-0.00089398,-4.8815E-05,-0.0011987,0,0,0,0.10123,3.7564E-05,5.3516E-09,1.2296E-06,3.6928E-05,2.2818E-09,3.8261E-05,0,0,0,0,0,0,package://newdog7/meshes/FL_foot_link.STL,1,1,1,1,0,0,0,0,0,0,package://newdog7/meshes/FL_foot_link.STL,,前左腿-1/球型足端适配感-1,FL_foot_link,Axis_FL_foot_joint2,FL_foot_joint,fixed,0.097188108287879,0,0.192544991245897,0,0,0,FL_calf_link,0,0,0,,,,,,,,,,,,
FR_hip_link,-0.027663,-0.016036,-4.3438E-05,0,0,0,0.54073,0.00032158,4.6346E-05,-3.3875E-07,0.00049272,9.1131E-08,0.00035002,0,0,0,0,0,0,package://newdog7/meshes/FR_hip_link.STL,1,1,1,1,0,0,0,0,0,0,package://newdog7/meshes/FR_hip_link.STL,,Mirror前左腿-3/MirrorCNC-髋关节二级轴系外下档件（板配合版）-1;Mirror前左腿-3/MirrorCNC-髋关节二级轴系输出中部-1;Mirror前左腿-3/Mirror标准件-深沟球轴承45-55-6-2;Mirror前左腿-3/MirrorCNC-髋关节二级轴系输出盘下部-1;Mirror前左腿-3/Mirror钣金件-髋关节与大腿连接板-1;Mirror前左腿-3/Mirror电机-RS02关节电机-2;Mirror前左腿-3/Mirror轴承外端上盖-1;Mirror前左腿-3/MirrorCNC-大腿小腿二级轴系外下档件（板配合版）-1;Mirror前左腿-3/Mirror标准件-深沟球轴承45-55-6-1;Mirror前左腿-3/MirrorCNC-输出盘下部-1,FR_hip_link,FR_hip_joint,FR_hip_joint,revolute,0.219736600000002,-0.0625499999999764,0,0,0,0,trunk_link,1,0,0,100,100,-3.14,3.14,,,,,,,,
FR_thigh_link,-0.0037532,0.017969,-0.045081,0,0,0,0.485,0.0016592,-2.8581E-07,-4.5136E-05,0.0019028,-4.2807E-07,0.00026185,0,0,0,0,0,0,package://newdog7/meshes/FR_thigh_link.STL,1,1,1,1,0,0,0,0,0,0,package://newdog7/meshes/FR_thigh_link.STL,,Mirror前左腿-3/MirrorCNC-输出中部2.0-1;Mirror前左腿-3/Mirror标准件-M4x45-7铝柱-4;Mirror前左腿-3/Mirror标准件-M4x45-7铝柱-3;Mirror前左腿-3/Mirror标准件-M4x45-7铝柱-2;Mirror前左腿-3/Mirror标准件-M4x45-7铝柱-1;Mirror前左腿-3/Mirror标准件-铝柱M4-D7-30-7;Mirror前左腿-3/Mirror标准件-铝柱M4-D7-30-6;Mirror前左腿-3/Mirror标准件-铝柱M4-D7-30-5;Mirror前左腿-3/Mirror标准件-铝柱M4-D7-30-4;Mirror前左腿-3/Mirror标准件-铝柱M4-D7-30-3;Mirror前左腿-3/Mirror标准件-铝柱M4-D7-30-2;Mirror前左腿-3/Mirror标准件-铝柱M4-D7-30-1;Mirror前左腿-3/Mirror碳纤板-大腿板7.0非电机侧固定板-1;Mirror前左腿-3/Mirror标准件-四氟垫片10-18-5-2;Mirror前左腿-3/Mirror标准件-四氟垫片10-18-5-1;Mirror前左腿-3/Mirror标准件-四氟垫片14-6-2-4;Mirror前左腿-3/Mirror标准件-四氟垫片14-6-2-3;Mirror前左腿-3/Mirror标准件-四氟垫片14-6-2-2;Mirror前左腿-3/Mirror标准件-四氟垫片14-6-2-1;Mirror前左腿-3/Mirror电机-RS02关节电机-1;Mirror前左腿-3/Mirror3D打印-小腿右限位块-1;Mirror前左腿-3/Mirror玻纤-小腿左限位板-1;Mirror前左腿-3/MirrorCNC-连杆固定件上部2.0-1;Mirror前左腿-3/MirrorCNC-连杆固定件下部2.0-1;Mirror前左腿-3/Mirror鱼眼轴承连杆-1;Mirror前左腿-3/Mirror碳纤板-大腿板7.0电机侧固定板-1;Mirror前左腿-3/Mirror标准件-四氟垫片10-18-5-3;Mirror前左腿-3/Mirror标准件-四氟垫片10-18-5-4,FR_thigh_link,FR_thigh_joint,FR_thigh_joint,revolute,0,-0.112999999999979,4.99999999777215E-05,0,0,0,FR_hip_link,0,-1,0,100,100,-3.14,3.14,,,,,,,,
FR_calf_link,0.026127,1.6653E-16,0.056277,0,0,0,0.17164,0.00042444,1.2721E-19,-0.00019028,0.00053264,2.2833E-19,0.00010963,0,0,0,0,0,0,package://newdog7/meshes/FR_calf_link.STL,1,1,1,1,0,0,0,0,0,0,package://newdog7/meshes/FR_calf_link.STL,,Mirror前左腿-3/MirrorCNC-小腿板右侧板6.0-1;Mirror前左腿-3/MirrorCNC-小腿板6.0-1;Mirror前左腿-3/MirrorCNC-小腿板左侧板6.0-1,FR_calf_link,FR_calf_joint,FR_calf_joint,revolute,0,0,-0.219999999999998,0,0,0,FR_thigh_link,0,-1,0,100,100,-3.14,3.14,,,,,,,,
FR_foot_link,-0.00089398,4.8818E-05,-0.0011987,0,0,0,0.26797,9.9434E-05,-1.4162E-08,3.2549E-06,9.775E-05,-6.1042E-09,0.00010128,0,0,0,0,0,0,package://newdog7/meshes/FR_foot_link.STL,1,1,1,1,0,0,0,0,0,0,package://newdog7/meshes/FR_foot_link.STL,,Mirror前左腿-3/Mirror球型足端适配感-1,FR_foot_link,Axis_FR_foot_joint2,FR_foot_joint,fixed,0.097188113678866,0,0.192544983915192,0,0,0,FR_calf_link,0,0,0,,,,,,,,,,,,
RL_hip_link,0.0275370203353642,0.016035850006297,-4.3485968027542E-05,0,0,0,0.540734293284771,0.000321578260132045,4.60860294303534E-05,-3.39011232172054E-07,0.000492717394418967,-9.10538660359902E-08,0.000350015497847484,0,0,0,0,0,0,package://newdog7/meshes/RL_hip_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://newdog7/meshes/RL_hip_link.STL,,后左腿-1/CNC-髋关节二级轴系外下档件（板配合版）-1;后左腿-1/标准件-深沟球轴承45-55-6-2;后左腿-1/CNC-髋关节二级轴系输出中部-1;后左腿-1/CNC-髋关节二级轴系输出盘下部-1;后左腿-1/电机-RS02关节电机-2;后左腿-1/钣金件-髋关节与大腿连接板-1;后左腿-1/轴承外端上盖-1;后左腿-1/CNC-大腿小腿二级轴系外下档件（板配合版）-1;后左腿-1/标准件-深沟球轴承45-55-6-1;后左腿-1/CNC-输出盘下部-1,RL_hip_link,RL_hip_joint,RL_hip_joint,revolute,-0.219736600000007,0.0625499999999842,0,0,0,0,trunk_link,1,0,0,100,100,-3.14,3.14,,,,,,,,
RL_thigh_link,-0.00375129650168743,-0.0179606285310873,-0.0451765685552273,0,0,0,0.48836396486517,0.00168073806100948,2.85886576617925E-07,-4.5812835017707E-05,0.0019266917802072,4.28117963053049E-07,0.000264187038162427,0,0,0,0,0,0,package://newdog7/meshes/RL_thigh_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://newdog7/meshes/RL_thigh_link.STL,,后左腿-1/标准件-铝柱M4-D7-30-7;后左腿-1/标准件-铝柱M4-D7-30-6;后左腿-1/标准件-铝柱M4-D7-30-5;后左腿-1/标准件-铝柱M4-D7-30-4;后左腿-1/标准件-铝柱M4-D7-30-3;后左腿-1/标准件-铝柱M4-D7-30-2;后左腿-1/标准件-铝柱M4-D7-30-1;后左腿-1/碳纤板-大腿板7.0非电机侧固定板-1;后左腿-1/标准件-M4x45-7铝柱-1;后左腿-1/标准件-M4x45-7铝柱-2;后左腿-1/标准件-M4x45-7铝柱-3;后左腿-1/标准件-M4x45-7铝柱-4;后左腿-1/CNC-输出中部2.0-1;后左腿-1/电机-RS02关节电机-1;后左腿-1/标准件-四氟垫片10-18-5-2;后左腿-1/标准件-四氟垫片10-18-5-3;后左腿-1/标准件-四氟垫片10-18-5-4;后左腿-1/标准件-四氟垫片10-18-5-1;后左腿-1/鱼眼轴承连杆-1/标准件-鱼眼接头_F-M6X100U-1;后左腿-1/标准件-四氟垫片14-6-2-4;后左腿-1/标准件-四氟垫片14-6-2-3;后左腿-1/3D打印-小腿右限位块-1;后左腿-1/鱼眼轴承连杆-1/标准件-M5双头螺柱184mm-1;后左腿-1/CNC-连杆固定件上部2.0-1;后左腿-1/标准件-四氟垫片14-6-2-2;后左腿-1/鱼眼轴承连杆-1/标准件-鱼眼接头_F-M6X100U-2;后左腿-1/标准件-四氟垫片14-6-2-1;后左腿-1/CNC-连杆固定件下部2.0-1;后左腿-1/玻纤-小腿左限位板-1;后左腿-1/碳纤板-大腿板7.0电机侧固定板-1,RL_thigh_link,RL_thigh_joint,RL_thigh_joint,revolute,0,0.113000000000016,5.00000000046436E-05,0,0,0,RL_hip_link,0,1,0,100,100,-3.14,3.14,,,,,,,,
RL_calf_link,0.026127,-5.5511E-17,0.056277,0,0,0,0.17164,0.00042444,-8.5074E-20,-0.00019028,0.00053264,-1.4966E-19,0.00010963,0,0,0,0,0,0,package://newdog7/meshes/RL_calf_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://newdog7/meshes/RL_calf_link.STL,,后左腿-1/CNC-小腿板左侧板6.0-4;后左腿-1/CNC-小腿板6.0-1;后左腿-1/CNC-小腿板右侧板6.0-1,RL_calf_link,RL_calf_joint,RL_calf_joint,revolute,0,0,-0.220000000000003,0,0,0,RL_thigh_link,0,1,0,100,100,-3.14,3.14,,,,,,,,
RL_foot_link,-0.00089398,-4.8815E-05,-0.0011987,0,0,0,0.10123,3.7564E-05,5.3516E-09,1.2296E-06,3.6928E-05,2.2818E-09,3.8261E-05,0,0,0,0,0,0,package://newdog7/meshes/RL_foot_link.STL,1,1,1,1,0,0,0,0,0,0,package://newdog7/meshes/RL_foot_link.STL,,后左腿-1/球型足端适配感-1,RL_foot_link,Axis_RL_foot_joint,RL_foot_joint,fixed,0.0971881082879007,0,0.192544991245896,0,0,0,RL_calf_link,0,0,0,,,,,,,,,,,,
RR_hip_link,0.02753707651014,-0.0160358508110011,-4.34381982042801E-05,0,0,0,0.540734254929058,0.000321576558310128,-4.60860658840951E-05,-3.38745253827392E-07,0.00049271640700968,9.11306303876051E-08,0.000350016209537752,0,0,0,0,0,0,package://newdog7/meshes/RR_hip_link.STL,1,1,1,1,0,0,0,0,0,0,package://newdog7/meshes/RR_hip_link.STL,,Mirror后左腿-2/MirrorCNC-髋关节二级轴系外下档件（板配合版）-1;Mirror后左腿-2/Mirror标准件-深沟球轴承45-55-6-2;Mirror后左腿-2/MirrorCNC-髋关节二级轴系输出中部-1;Mirror后左腿-2/Mirror钣金件-髋关节与大腿连接板-1;Mirror后左腿-2/Mirror电机-RS02关节电机-2;Mirror后左腿-2/MirrorCNC-髋关节二级轴系输出盘下部-1;Mirror后左腿-2/Mirror轴承外端上盖-1;Mirror后左腿-2/MirrorCNC-大腿小腿二级轴系外下档件（板配合版）-1;Mirror后左腿-2/Mirror标准件-深沟球轴承45-55-6-1;Mirror后左腿-2/MirrorCNC-输出盘下部-1,RR_hip_link,RR_hip_joint,RR_hip_joint,revolute,-0.219736600000007,-0.0625499999999764,0,0,0,0,trunk_link,1,0,0,100,100,-3.14,3.14,,,,,,,,
RR_thigh_link,-0.0037532,0.017969,-0.045081,0,0,0,0.485,0.0016592,-2.8581E-07,-4.5136E-05,0.0019028,-4.2807E-07,0.00026185,0,0,0,0,0,0,package://newdog7/meshes/RR_thigh_link.STL,1,1,1,1,0,0,0,0,0,0,package://newdog7/meshes/RR_thigh_link.STL,,Mirror后左腿-2/MirrorCNC-输出中部2.0-1;Mirror后左腿-2/Mirror电机-RS02关节电机-1;Mirror后左腿-2/Mirror标准件-M4x45-7铝柱-3;Mirror后左腿-2/Mirror标准件-M4x45-7铝柱-4;Mirror后左腿-2/Mirror标准件-M4x45-7铝柱-2;Mirror后左腿-2/Mirror标准件-M4x45-7铝柱-1;Mirror后左腿-2/Mirror碳纤板-大腿板7.0电机侧固定板-1;Mirror后左腿-2/Mirror玻纤-小腿左限位板-1;Mirror后左腿-2/MirrorCNC-连杆固定件下部2.0-1;Mirror后左腿-2/Mirror标准件-四氟垫片14-6-2-1;Mirror后左腿-2/Mirror鱼眼轴承连杆1-1/Mirror标准件-鱼眼接头_F-M6X100U-2;Mirror后左腿-2/Mirror标准件-四氟垫片14-6-2-2;Mirror后左腿-2/MirrorCNC-连杆固定件上部2.0-1;Mirror后左腿-2/Mirror标准件-铝柱M4-D7-30-6;Mirror后左腿-2/Mirror标准件-铝柱M4-D7-30-7;Mirror后左腿-2/Mirror碳纤板-大腿板7.0非电机侧固定板-1;Mirror后左腿-2/Mirror标准件-铝柱M4-D7-30-3;Mirror后左腿-2/Mirror标准件-铝柱M4-D7-30-2;Mirror后左腿-2/Mirror鱼眼轴承连杆1-1/Mirror标准件-M5双头螺柱184mm-1;Mirror后左腿-2/Mirror标准件-铝柱M4-D7-30-4;Mirror后左腿-2/Mirror标准件-铝柱M4-D7-30-1;Mirror后左腿-2/Mirror标准件-铝柱M4-D7-30-5;Mirror后左腿-2/Mirror3D打印-小腿右限位块-1;Mirror后左腿-2/Mirror鱼眼轴承连杆1-1/Mirror标准件-鱼眼接头_F-M6X100U-1;Mirror后左腿-2/Mirror标准件-四氟垫片14-6-2-3;Mirror后左腿-2/Mirror标准件-四氟垫片14-6-2-4;Mirror后左腿-2/Mirror标准件-四氟垫片10-18-5-2;Mirror后左腿-2/Mirror标准件-四氟垫片10-18-5-3;Mirror后左腿-2/Mirror标准件-四氟垫片10-18-5-4;Mirror后左腿-2/Mirror标准件-四氟垫片10-18-5-1,RR_thigh_link,RR_thifh_joint,RR_thigh_joint,revolute,0,-0.112999999999978,5.00000000001229E-05,0,0,0,RR_hip_link,0,-1,0,100,100,-3.14,3.14,,,,,,,,
RR_calf_link,0.026127,-6.7002E-14,0.056277,0,0,0,0.17164,0.00042444,-7.3108E-20,-0.00019028,0.00053264,-1.1949E-19,0.00010963,0,0,0,0,0,0,package://newdog7/meshes/RR_calf_link.STL,1,1,1,1,0,0,0,0,0,0,package://newdog7/meshes/RR_calf_link.STL,,Mirror后左腿-2/MirrorCNC-小腿板左侧板6.0-1;Mirror后左腿-2/MirrorCNC-小腿板右侧板6.0-1;Mirror后左腿-2/MirrorCNC-小腿板6.0-1,RR_calf_link,RR_calf_joint,RR_calf_joint,revolute,0,0,-0.219999999999998,0,0,0,RR_thigh_link,0,-1,0,100,100,-3.14,3.14,,,,,,,,
RR_foot_link,-0.00089398,4.8818E-05,-0.0011987,0,0,0,0.26797,9.9434E-05,-1.4162E-08,3.2549E-06,9.775E-05,-6.1042E-09,0.00010128,0,0,0,0,0,0,package://newdog7/meshes/RR_foot_link.STL,1,1,1,1,0,0,0,0,0,0,package://newdog7/meshes/RR_foot_link.STL,,Mirror后左腿-2/Mirror球型足端适配感-1,RR_foot_link,Axis_RR_foot_joint,RR_foot_joint,fixed,0.0971881136788905,0,0.192544983915191,0,0,0,RR_calf_link,0,0,0,,,,,,,,,,,,
imu_link,-0.00012677,1.9776E-16,-0.033,0,0,0,0.0046279,2.2345E-07,2.2225E-22,3.1507E-25,2.1898E-07,-8.3229E-25,3.6529E-07,0,0,0,0,0,0,package://newdog7/meshes/imu_link.STL,1,1,1,1,0,0,0,0,0,0,package://newdog7/meshes/imu_link.STL,,imu-1,base_link,Axis_imu_joint,imu_joint,fixed,0,0,0,0,0,0,trunk_link,0,0,0,,,,,,,,,,,,
